ward,wardcode,car0,car0p,car1,car1p,car2,car2p,car3,car3p
Princes Park (Liverpool),E05000906,"4,666",56.6,"2,896",35.1,559,6.8,121,1.5
Riverside (Liverpool),E05000907,"5,938",52.0,"4,390",38.4,982,8.6,112,1.0
Speke-Garston,E05000909,"3,972",42.5,"3,961",42.4,"1,241",13.3,173,1.9
St Michael's (Liverpool),E05000908,"2,303",36.7,"2,885",45.9,925,14.7,167,2.7
Tuebrook and Stoneycroft,E05000910,"3,248",46.2,"2,678",38.1,921,13.1,190,2.7
Warbreck (Liverpool),E05000911,"2,255",34.5,"2,861",43.8,"1,174",18.0,241,3.7
Wavertree,E05000912,"1,975",31.3,"2,829",44.9,"1,218",19.3,281,4.5
West Derby,E05000913,"1,390",23.3,"2,647",44.4,"1,532",25.7,394,6.6
Woolton,E05000914,"1,327",21.6,"2,582",42.0,"1,815",29.5,424,6.9
Yew Tree,E05000915,"2,398",33.9,"2,964",41.9,"1,351",19.1,358,5.1
Ancoats & Beswick,E05011350,"3,540",47.4,"3,209",43.0,644,8.6,71,1.0
Ardwick,E05011351,"3,397",50.4,"2,624",38.9,585,8.7,132,2.0
Baguley,E05011352,"2,271",33.7,"3,015",44.7,"1,190",17.6,268,4.0
Brooklands (Manchester),E05011353,"1,919",28.2,"3,200",47.1,"1,378",20.3,298,4.4
Burnage,E05011354,"1,826",28.0,"3,027",46.4,"1,268",19.4,401,6.1
Charlestown,E05011355,"2,494",35.5,"3,079",43.8,"1,223",17.4,234,3.3
Cheetham,E05011356,"2,762",39.7,"3,075",44.2,946,13.6,170,2.4
Chorlton,E05011357,"1,338",23.6,"2,851",50.2,"1,253",22.1,237,4.2
Chorlton Park,E05011358,"1,926",27.1,"3,304",46.5,"1,503",21.2,370,5.2
Clayton & Openshaw,E05011359,"3,283",42.6,"3,389",44.0,892,11.6,145,1.9
Crumpsall,E05011360,"2,060",34.2,"2,606",43.3,"1,075",17.9,281,4.7
Deansgate,E05011361,"3,808",60.7,"2,119",33.8,318,5.1,33,0.5
Didsbury East,E05011362,"1,168",18.8,"3,037",48.8,"1,698",27.3,324,5.2
Didsbury West,E05011363,"1,881",25.3,"3,565",48.0,"1,700",22.9,286,3.8
Fallowfield,E05011364,"1,713",39.7,"1,799",41.7,603,14.0,196,4.5
Gorton & Abbey Hey,E05011365,"3,701",44.3,"3,485",41.7,946,11.3,221,2.6
Harpurhey,E05011366,"3,752",47.5,"3,177",40.2,860,10.9,106,1.3
Higher Blackley,E05011367,"2,242",35.0,"2,924",45.7,991,15.5,241,3.8
Hulme,E05011368,"4,137",52.5,"3,179",40.3,475,6.0,89,1.1
Levenshulme,E05011369,"2,652",36.7,"3,408",47.1,963,13.3,211,2.9
Longsight,E05011370,"2,411",37.2,"2,822",43.6,"1,007",15.6,233,3.6
Miles Platting & Newton Heath,E05011371,"3,677",45.2,"3,386",41.7,877,10.8,188,2.3
Moss Side (Manchester),E05011372,"3,657",50.3,"2,819",38.8,662,9.1,131,1.8
Moston,E05011373,"2,433",32.6,"3,318",44.5,"1,380",18.5,325,4.4
Northenden,E05011374,"1,891",31.1,"2,727",44.9,"1,176",19.4,278,4.6
Old Moat,E05011375,"2,007",34.9,"2,518",43.7,969,16.8,262,4.6
Piccadilly,E05011376,"4,264",68.1,"1,729",27.6,240,3.8,30,0.5
Rusholme,E05011377,"2,110",44.1,"1,764",36.8,664,13.9,249,5.2
Sharston,E05011378,"2,624",36.9,"3,073",43.3,"1,148",16.2,258,3.6
Whalley Range,E05011379,"2,423",36.6,"2,913",44.0,"1,007",15.2,276,4.2
Withington,E05011380,"1,975",35.7,"2,260",40.8,988,17.8,315,5.7
Woodhouse Park,E05011381,"2,427",37.4,"2,865",44.1,981,15.1,223,3.4
Alexandra (Oldham),E05000719,"1,891",39.4,"1,946",40.6,710,14.8,250,5.2
Chadderton Central,E05000720,"1,069",23.6,"1,923",42.4,"1,206",26.6,339,7.5
Chadderton North,E05000721,"1,008",22.4,"2,004",44.5,"1,162",25.8,327,7.3
Chadderton South,E05000722,"1,390",28.7,"2,239",46.2,978,20.2,243,5.0
Coldhurst,E05000723,"2,012",46.6,"1,604",37.1,541,12.5,165,3.8
Crompton (Oldham),E05000724,880,19.2,"2,090",45.5,"1,281",27.9,340,7.4
Failsworth East,E05000725,"1,244",26.5,"2,061",43.8,"1,063",22.6,335,7.1
Failsworth West,E05000726,"1,431",29.9,"2,128",44.4,"1,010",21.1,220,4.6
Hollinwood,E05000727,"1,703",35.5,"2,122",44.2,802,16.7,173,3.6
Medlock Vale,E05000728,"1,591",31.7,"2,183",43.6,978,19.5,260,5.2
Royton North,E05000729,974,21.9,"1,897",42.7,"1,252",28.2,320,7.2
Royton South,E05000730,"1,138",23.6,"2,161",44.8,"1,206",25.0,321,6.7
Saddleworth North,E05000731,453,10.6,"1,692",39.7,"1,552",36.5,560,13.2
Saddleworth South,E05000732,701,15.8,"1,763",39.8,"1,506",34.0,462,10.4
Saddleworth West and Lees,E05000733,916,18.8,"2,124",43.6,"1,427",29.3,409,8.4
Shaw (Oldham),E05000736,"1,211",26.9,"1,946",43.2,"1,044",23.2,304,6.7
St James' (Oldham),E05000734,"1,395",28.6,"2,031",41.6,"1,160",23.8,297,6.1
St Mary's (Oldham),E05000735,"1,703",36.2,"1,943",41.3,783,16.6,275,5.8
Waterhead,E05000737,"1,755",33.8,"2,086",40.2,"1,048",20.2,296,5.7
Werneth,E05000738,"1,276",31.0,"1,703",41.3,833,20.2,310,7.5
Balderstone & Kirkholt,E05014033,"1,448",31.9,"1,832",40.4,"1,001",22.1,256,5.6
Bamford,E05014034,733,17.4,"1,680",39.8,"1,337",31.7,468,11.1
Castleton,E05014035,"1,157",26.4,"1,911",43.6,"1,055",24.1,262,6.0
Central Rochdale,E05014036,"1,574",37.0,"1,815",42.6,662,15.5,207,4.9
East Middleton,E05014037,"1,276",25.8,"2,335",47.2,"1,063",21.5,275,5.6
Healey,E05014038,756,17.9,"1,849",43.9,"1,240",29.4,370,8.8
Hopwood Hall,E05014039,"1,120",24.3,"1,934",42.0,"1,196",25.9,360,7.8
Kingsway (Rochdale),E05014040,"1,190",28.9,"1,742",42.3,900,21.9,286,6.9
Littleborough Lakeside,E05014041,802,18.8,"1,933",45.4,"1,201",28.2,323,7.6
Milkstone & Deeplish,E05014042,"1,410",37.9,"1,493",40.1,585,15.7,234,6.3
Milnrow & Newhey,E05014043,857,18.2,"2,120",44.9,"1,337",28.3,407,8.6
Norden (Rochdale),E05014044,339,8.4,"1,492",36.8,"1,672",41.3,546,13.5
North Heywood,E05014045,"1,710",33.4,"2,166",42.3,996,19.5,244,4.8
North Middleton,E05014046,"1,474",28.7,"2,221",43.2,"1,184",23.0,265,5.2
Smallbridge & Firgrove,E05014047,"1,627",34.6,"2,001",42.5,848,18.0,232,4.9
South Middleton,E05014048,"1,032",21.9,"1,942",41.2,"1,387",29.4,356,7.5
Spotland & Falinge,E05014049,"1,677",34.9,"1,948",40.5,916,19.0,269,5.6
"Wardle, Shore & West Littleborough",E05014050,600,14.0,"1,862",43.3,"1,438",33.4,401,9.3
West Heywood,E05014051,"1,471",28.7,"2,241",43.8,"1,151",22.5,258,5.0
West Middleton,E05014052,"1,443",33.8,"1,755",41.2,899,21.1,166,3.9
Barton & Winton,E05013018,"2,463",34.6,"3,147",44.2,"1,245",17.5,272,3.8
Blackfriars & Trinity,E05013019,"3,335",56.7,"2,107",35.8,396,6.7,47,0.8
Boothstown & Ellenbrook,E05013020,506,9.8,"2,038",39.4,"2,053",39.7,573,11.1
Broughton (Salford),E05013021,"3,010",48.4,"2,537",40.8,558,9.0,120,1.9
Cadishead & Lower Irlam,E05013022,"1,112",21.3,"2,260",43.2,"1,438",27.5,418,8.0
Claremont (Salford),E05013023,"1,340",24.3,"2,551",46.2,"1,288",23.3,338,6.1
Eccles,E05013024,"2,201",32.6,"2,806",41.5,"1,390",20.6,358,5.3
Higher Irlam & Peel Green,E05013025,"1,553",26.4,"2,661",45.3,"1,331",22.6,333,5.7
Kersal & Broughton Park,E05013026,"1,754",33.1,"2,307",43.5,964,18.2,280,5.3
Little Hulton,E05013027,"2,018",35.3,"2,489",43.5,987,17.3,226,4.0
Ordsall,E05013028,"2,436",49.3,"2,032",41.1,420,8.5,55,1.1
Pendlebury & Clifton,E05013029,"1,647",28.5,"2,599",45.1,"1,225",21.2,298,5.2
Pendleton & Charlestown,E05013030,"3,332",51.6,"2,427",37.6,584,9.0,111,1.7
Quays,E05013031,"2,344",45.6,"2,210",43.0,542,10.5,43,0.8
Swinton & Wardley,E05013032,"1,456",26.4,"2,590",47.0,"1,220",22.1,247,4.5
Swinton Park,E05013033,"1,173",21.8,"2,439",45.4,"1,415",26.3,347,6.5
Walkden North,E05013034,"1,708",28.6,"2,793",46.7,"1,251",20.9,230,3.8
Walkden South,E05013035,914,17.7,"2,365",45.9,"1,528",29.6,350,6.8
Weaste & Seedley,E05013036,"2,992",42.0,"3,066",43.0,902,12.7,163,2.3
Worsley & Westwood Park,E05013037,911,18.8,"2,000",41.3,"1,501",31.0,436,9.0
Ainsdale,E05000932,951,17.2,"2,389",43.3,"1,674",30.4,501,9.1
Birkdale,E05000933,940,17.3,"2,372",43.6,"1,590",29.2,543,10.0
Blundellsands,E05000934,902,18.1,"2,146",43.0,"1,497",30.0,446,8.9
Cambridge,E05000935,"1,966",30.8,"2,878",45.1,"1,183",18.5,355,5.6
Church (Sefton),E05000936,"2,127",37.0,"2,471",43.0,911,15.9,236,4.1
Derby (Sefton),E05000937,"2,606",45.6,"2,240",39.2,707,12.4,160,2.8
Duke's,E05000938,"2,779",38.2,"3,011",41.4,"1,091",15.0,395,5.4
Ford,E05000939,"1,933",34.6,"2,317",41.4,"1,088",19.5,254,4.5
Harington,E05000940,540,11.1,"1,953",40.3,"1,794",37.0,561,11.6
Kew (Sefton),E05000941,"1,284",21.9,"2,692",46.0,"1,469",25.1,409,7.0
