ward,wardcode,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep
Eccles,E05013024,"3,436",50.9,29,0.4,"1,668",24.7,"1,596",23.6,27,0.4
Higher Irlam & Peel Green,E05013025,"3,268",55.6,28,0.5,"1,628",27.7,942,16.0,12,0.2
Kersal & Broughton Park,E05013026,"2,478",46.7,25,0.5,"1,119",21.1,"1,677",31.6,7,0.1
Little Hulton,E05013027,"2,035",35.6,44,0.8,"2,804",49.0,803,14.0,32,0.6
Ordsall,E05013028,961,19.4,12,0.2,"1,776",35.9,"2,180",44.1,15,0.3
Pendlebury & Clifton,E05013029,"3,085",53.4,37,0.6,"1,557",27.0,"1,075",18.6,18,0.3
Pendleton & Charlestown,E05013030,"1,370",21.2,30,0.5,"3,150",48.8,"1,866",28.9,40,0.6
Quays,E05013031,791,15.4,7,0.1,309,6.0,"4,030",78.4,5,0.1
Swinton & Wardley,E05013032,"3,444",62.5,13,0.2,929,16.9,"1,116",20.2,10,0.2
Swinton Park,E05013033,"3,656",68.0,28,0.5,897,16.7,770,14.3,23,0.4
Walkden North,E05013034,"2,968",49.6,62,1.0,"1,681",28.1,"1,256",21.0,15,0.3
Walkden South,E05013035,"3,610",70.0,27,0.5,627,12.2,886,17.2,5,0.1
Weaste & Seedley,E05013036,"2,488",34.9,94,1.3,"2,009",28.2,"2,512",35.3,21,0.3
Worsley & Westwood Park,E05013037,"3,418",70.5,10,0.2,806,16.6,606,12.5,8,0.2
Ainsdale,E05000932,"4,317",78.3,50,0.9,590,10.7,557,10.1,0,0.0
Birkdale,E05000933,"4,153",76.3,13,0.2,287,5.3,990,18.2,1,0.0
Blundellsands,E05000934,"3,967",79.5,9,0.2,216,4.3,798,16.0,0,0.0
Cambridge,E05000935,"3,814",59.8,59,0.9,720,11.3,"1,782",27.9,4,0.1
Church (Sefton),E05000936,"2,885",50.2,37,0.6,"1,140",19.8,"1,682",29.3,1,0.0
Derby (Sefton),E05000937,"2,526",44.2,22,0.4,"1,735",30.4,"1,426",25.0,3,0.1
Duke's,E05000938,"3,589",49.3,102,1.4,496,6.8,"3,089",42.5,0,0.0
Ford,E05000939,"3,003",53.7,30,0.5,"1,786",31.9,769,13.8,4,0.1
Harington,E05000940,"4,339",89.6,18,0.4,142,2.9,344,7.1,0,0.0
Kew (Sefton),E05000941,"3,754",64.1,130,2.2,463,7.9,"1,504",25.7,1,0.0
Linacre (Sefton),E05000942,"1,761",27.3,39,0.6,"2,899",44.9,"1,752",27.1,11,0.2
Litherland,E05000943,"2,983",55.2,81,1.5,"1,254",23.2,"1,088",20.1,1,0.0
Manor (Sefton),E05000944,"3,973",73.9,19,0.4,947,17.6,436,8.1,4,0.1
