ward,wardcode,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep
Stalybridge North,E05000817,"3,018",54.5,20,0.4,"1,632",29.5,855,15.4,12,0.2
Stalybridge South,E05000818,"3,399",71.4,5,0.1,640,13.4,713,15.0,5,0.1
Altrincham,E05000819,"3,693",65.9,27,0.5,528,9.4,"1,357",24.2,2,0.0
Ashton upon Mersey,E05000820,"3,223",74.4,32,0.7,354,8.2,719,16.6,2,0.0
Bowdon,E05000821,"2,854",76.4,17,0.5,386,10.3,480,12.8,1,0.0
Broadheath (Trafford),E05000822,"4,094",73.5,64,1.1,544,9.8,869,15.6,1,0.0
Brooklands (Trafford),E05000823,"3,408",81.1,3,0.1,223,5.3,566,13.5,2,0.0
Bucklow-St Martins,E05000824,"2,188",52.3,44,1.1,"1,474",35.2,475,11.3,5,0.1
Clifford,E05000825,"2,018",38.8,45,0.9,"1,731",33.2,"1,400",26.9,13,0.2
Davyhulme East,E05000826,"3,077",77.2,36,0.9,449,11.3,422,10.6,3,0.1
Davyhulme West,E05000827,"3,341",81.4,37,0.9,443,10.8,282,6.9,3,0.1
Flixton,E05000828,"3,714",80.7,37,0.8,460,10.0,393,8.5,0,0.0
Gorse Hill (Trafford),E05000829,"2,992",59.1,38,0.8,"1,127",22.3,905,17.9,3,0.1
Hale Barns,E05000830,"3,130",82.0,5,0.1,346,9.1,335,8.8,3,0.1
Hale Central,E05000831,"3,260",78.0,10,0.2,156,3.7,750,18.0,1,0.0
Longford (Trafford),E05000832,"2,951",57.3,32,0.6,"1,021",19.8,"1,141",22.2,4,0.1
Priory (Trafford),E05000833,"3,084",61.3,32,0.6,474,9.4,"1,436",28.6,1,0.0
Sale Moor,E05000835,"2,989",68.0,10,0.2,779,17.7,614,14.0,5,0.1
St Mary's (Trafford),E05000834,"3,124",64.9,35,0.7,"1,260",26.2,391,8.1,4,0.1
Stretford,E05000836,"2,919",62.5,25,0.5,"1,044",22.4,678,14.5,3,0.1
Timperley,E05000837,"3,975",90.7,22,0.5,69,1.6,318,7.3,0,0.0
Urmston,E05000838,"3,465",70.6,74,1.5,561,11.4,805,16.4,4,0.1
Village (Trafford),E05000839,"2,887",66.8,26,0.6,995,23.0,408,9.4,6,0.1
Bebington,E05000954,"4,847",74.2,45,0.7,809,12.4,832,12.7,3,0.0
Bidston and St James,E05000955,"2,523",35.7,39,0.6,"3,128",44.3,"1,359",19.2,12,0.2
Birkenhead and Tranmere,E05000956,"2,441",30.3,103,1.3,"2,661",33.0,"2,850",35.4,4,0.0
Bromborough,E05000957,"4,572",61.8,65,0.9,"1,321",17.8,"1,441",19.5,4,0.1
Clatterbridge,E05000958,"5,075",86.4,20,0.3,195,3.3,585,10.0,1,0.0
Claughton,E05000959,"4,200",64.9,30,0.5,925,14.3,"1,313",20.3,6,0.1
Eastham,E05000960,"4,758",79.0,38,0.6,564,9.4,657,10.9,2,0.0
"Greasby, Frankby and Irby",E05000961,"5,431",87.8,38,0.6,223,3.6,496,8.0,0,0.0
Heswall,E05000962,"5,097",87.5,19,0.3,199,3.4,510,8.8,2,0.0
Hoylake and Meols,E05000963,"4,509",78.8,9,0.2,239,4.2,968,16.9,0,0.0
Leasowe and Moreton East,E05000964,"3,799",58.1,25,0.4,"1,770",27.1,941,14.4,8,0.1
Liscard,E05000965,"4,089",58.5,12,0.2,735,10.5,"2,150",30.8,3,0.0
Moreton West and Saughall Massie,E05000966,"4,800",76.9,27,0.4,600,9.6,810,13.0,2,0.0
New Brighton,E05000967,"4,272",61.8,41,0.6,650,9.4,"1,950",28.2,0,0.0
Oxton,E05000968,"4,518",67.8,46,0.7,496,7.4,"1,604",24.1,3,0.0
Pensby and Thingwall,E05000969,"4,692",80.3,18,0.3,582,10.0,550,9.4,0,0.0
Prenton,E05000970,"4,548",72.8,28,0.4,627,10.0,"1,025",16.4,18,0.3
Rock Ferry,E05000971,"2,594",37.6,109,1.6,"2,147",31.1,"2,043",29.6,6,0.1
Seacombe,E05000972,"2,738",40.9,75,1.1,"1,648",24.6,"2,235",33.4,4,0.1
Upton (Wirral),E05000973,"4,191",57.8,44,0.6,"1,855",25.6,"1,150",15.9,11,0.2
Wallasey,E05000974,"4,989",79.3,31,0.5,305,4.8,965,15.3,3,0.0
West Kirby and Thurstaston,E05000975,"4,432",80.5,27,0.5,384,7.0,662,12.0,1,0.0
