ward,wardcode,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p
Meols,E05000945,"2,487",47.0,"2,000",37.8,745,14.1,51,1.0,8,0.2
Molyneux,E05000946,"2,490",48.4,"1,795",34.9,794,15.4,63,1.2,7,0.1
Netherton and Orrell,E05000947,"2,218",41.7,"1,804",33.9,"1,185",22.3,99,1.9,14,0.3
Norwood,E05000948,"2,213",36.4,"2,319",38.1,"1,370",22.5,163,2.7,21,0.3
Park (Sefton),E05000949,"2,497",49.0,"1,750",34.4,778,15.3,59,1.2,7,0.1
Ravenmeols,E05000950,"2,686",50.9,"1,831",34.7,700,13.3,45,0.9,11,0.2
St Oswald (Sefton),E05000951,"1,797",35.2,"1,914",37.5,"1,250",24.5,128,2.5,15,0.3
Sudell,E05000952,"2,803",49.8,"1,935",34.4,827,14.7,62,1.1,6,0.1
Victoria (Sefton),E05000953,"2,768",50.1,"1,823",33.0,867,15.7,58,1.0,8,0.1
Billinge & Seneley Green,E05014120,"2,257",49.0,"1,585",34.4,697,15.1,61,1.3,5,0.1
Blackbrook (St. Helens),E05014121,"1,915",42.1,"1,625",35.7,909,20.0,96,2.1,8,0.2
Bold & Lea Green,E05014122,"2,105",42.4,"1,707",34.4,"1,017",20.5,119,2.4,14,0.3
Eccleston,E05014123,"2,510",55.9,"1,354",30.1,574,12.8,47,1.0,7,0.2
Haydock,E05014124,"1,889",39.2,"1,865",38.7,979,20.3,86,1.8,6,0.1
Moss Bank,E05014125,"1,888",39.0,"1,796",37.1,"1,070",22.1,79,1.6,11,0.2
Newton-le-Willows East,E05014126,"2,193",40.3,"2,118",39.0,"1,025",18.9,92,1.7,8,0.1
Newton-le-Willows West,E05014127,"1,856",32.4,"2,255",39.3,"1,483",25.9,122,2.1,18,0.3
Parr,E05014128,"1,324",24.2,"2,238",41.0,"1,657",30.3,222,4.1,23,0.4
Peasley Cross & Fingerpost,E05014129,337,22.5,671,44.8,431,28.8,55,3.7,4,0.3
Rainford,E05014130,"1,781",50.9,"1,223",34.9,457,13.0,37,1.1,4,0.1
Rainhill,E05014131,"2,411",48.6,"1,714",34.5,765,15.4,72,1.5,2,0.0
St Helens Town Centre,E05014132,679,16.6,"1,746",42.8,"1,547",37.9,105,2.6,4,0.1
Sutton North West,E05014133,"1,273",40.7,"1,174",37.6,596,19.1,73,2.3,9,0.3
Sutton South East,E05014134,"1,054",35.6,"1,201",40.6,624,21.1,71,2.4,10,0.3
Thatto Heath,E05014135,"1,971",34.5,"2,192",38.3,"1,372",24.0,161,2.8,23,0.4
West Park (St. Helens),E05014136,"1,679",30.7,"2,418",44.2,"1,236",22.6,123,2.2,15,0.3
Windle,E05014137,"1,928",40.4,"1,722",36.1,"1,031",21.6,84,1.8,9,0.2
Bramhall North,E05000779,"3,061",57.9,"1,535",29.0,632,12.0,54,1.0,6,0.1
Bramhall South and Woodford,E05000780,"3,362",64.5,"1,403",26.9,413,7.9,31,0.6,3,0.1
