ward,wardcode,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p
Wavertree,E05000912,"2,502",39.7,"2,312",36.7,"1,350",21.4,126,2.0,13,0.2
West Derby,E05000913,"2,781",46.6,"1,997",33.5,"1,081",18.1,81,1.4,22,0.4
Woolton,E05000914,"2,929",47.6,"2,052",33.4,"1,106",18.0,50,0.8,11,0.2
Yew Tree,E05000915,"2,399",33.9,"2,730",38.6,"1,715",24.3,194,2.7,33,0.5
Ancoats & Beswick,E05011350,696,9.3,"2,657",35.6,"3,804",51.0,277,3.7,32,0.4
Ardwick,E05011351,"1,028",15.3,"1,805",26.8,"3,116",46.2,627,9.3,162,2.4
Baguley,E05011352,"1,682",24.9,"2,582",38.3,"2,135",31.7,278,4.1,67,1.0
Brooklands (Manchester),E05011353,"2,046",30.1,"2,584",38.0,"1,871",27.5,267,3.9,27,0.4
Burnage,E05011354,"1,935",29.7,"2,059",31.6,"1,960",30.1,465,7.1,103,1.6
Charlestown,E05011355,"1,906",27.1,"2,419",34.4,"2,261",32.2,380,5.4,64,0.9
Cheetham,E05011356,726,10.4,"2,041",29.4,"3,069",44.1,845,12.2,272,3.9
Chorlton,E05011357,"1,977",34.8,"1,940",34.2,"1,627",28.6,103,1.8,33,0.6
Chorlton Park,E05011358,"2,433",34.3,"2,292",32.3,"2,004",28.2,286,4.0,87,1.2
Clayton & Openshaw,E05011359,"1,385",18.0,"2,490",32.3,"3,100",40.2,617,8.0,118,1.5
Crumpsall,E05011360,"1,127",18.7,"1,712",28.4,"2,380",39.5,608,10.1,195,3.2
Deansgate,E05011361,118,1.9,"2,622",41.8,"3,384",53.9,144,2.3,11,0.2
Didsbury East,E05011362,"2,559",41.1,"2,205",35.4,"1,317",21.1,126,2.0,20,0.3
Didsbury West,E05011363,"2,065",27.8,"2,512",33.8,"2,747",37.0,95,1.3,13,0.2
Fallowfield,E05011364,952,22.1,"1,371",31.8,"1,587",36.8,295,6.8,108,2.5
Gorton & Abbey Hey,E05011365,"1,502",18.0,"2,813",33.7,"3,189",38.2,709,8.5,140,1.7
Harpurhey,E05011366,"1,287",16.3,"2,497",31.6,"3,263",41.3,708,9.0,139,1.8
Higher Blackley,E05011367,"1,568",24.5,"2,335",36.5,"2,047",32.0,383,6.0,63,1.0
Hulme,E05011368,682,8.7,"2,966",37.6,"3,769",47.8,400,5.1,62,0.8
Levenshulme,E05011369,"1,333",18.4,"2,391",33.1,"2,527",34.9,775,10.7,208,2.9
Longsight,E05011370,"1,002",15.5,"1,765",27.3,"2,511",38.8,890,13.7,306,4.7
Miles Platting & Newton Heath,E05011371,"1,706",21.0,"2,733",33.6,"3,026",37.2,553,6.8,110,1.4
Moss Side (Manchester),E05011372,"1,043",14.4,"2,094",28.8,"2,949",40.6,875,12.0,306,4.2
Moston,E05011373,"2,123",28.5,"2,537",34.0,"2,273",30.5,447,6.0,77,1.0
Northenden,E05011374,"1,933",31.8,"2,170",35.7,"1,689",27.8,227,3.7,52,0.9
Old Moat,E05011375,"1,437",25.0,"1,754",30.5,"2,207",38.3,282,4.9,77,1.3
Piccadilly,E05011376,146,2.3,"2,008",32.1,"3,938",62.9,162,2.6,8,0.1
Rusholme,E05011377,871,18.2,"1,144",23.9,"2,093",43.7,492,10.3,187,3.9
Sharston,E05011378,"1,779",25.0,"2,932",41.3,"2,026",28.5,322,4.5,45,0.6
Whalley Range,E05011379,"1,396",21.1,"1,892",28.6,"2,773",41.9,421,6.4,138,2.1
Withington,E05011380,"1,451",26.2,"1,649",29.8,"2,137",38.6,239,4.3,61,1.1
Woodhouse Park,E05011381,"1,445",22.2,"2,510",38.6,"2,176",33.5,309,4.8,56,0.9
Alexandra (Oldham),E05000719,669,13.9,"1,485",31.0,"1,926",40.2,523,10.9,194,4.0
Chadderton Central,E05000720,"1,465",32.3,"1,636",36.1,"1,221",26.9,183,4.0,32,0.7
Chadderton North,E05000721,"1,360",30.2,"1,663",36.9,"1,182",26.3,239,5.3,58,1.3
Chadderton South,E05000722,"1,341",27.6,"1,866",38.5,"1,390",28.6,218,4.5,37,0.8
Coldhurst,E05000723,472,10.9,"1,058",24.5,"1,888",43.7,607,14.0,297,6.9
Crompton (Oldham),E05000724,"1,629",35.5,"1,876",40.9,977,21.3,100,2.2,9,0.2
Failsworth East,E05000725,"1,292",27.5,"1,981",42.1,"1,287",27.4,127,2.7,15,0.3
Failsworth West,E05000726,"1,339",28.0,"1,897",39.6,"1,353",28.3,180,3.8,20,0.4
Hollinwood,E05000727,867,18.1,"1,814",37.8,"1,725",35.9,344,7.2,50,1.0
Medlock Vale,E05000728,868,17.3,"1,732",34.6,"1,774",35.4,471,9.4,166,3.3
Royton North,E05000729,"1,673",37.6,"1,584",35.6,"1,082",24.3,91,2.0,15,0.3
Royton South,E05000730,"1,451",30.1,"2,029",42.0,"1,232",25.5,98,2.0,17,0.4
