ward,wardcode,broom1,broom1p,broom2,broom2p,broom3,broom3p,broom4,broom4p
Sharston,E05011378,372,5.2,"2,149",30.3,"4,043",56.9,537,7.6
Whalley Range,E05011379,"1,655",25.0,"1,982",29.9,"1,605",24.2,"1,377",20.8
Withington,E05011380,930,16.8,"1,247",22.5,"1,981",35.8,"1,380",24.9
Woodhouse Park,E05011381,575,8.9,"2,187",33.7,"3,248",50.0,486,7.5
Alexandra (Oldham),E05000719,636,13.3,"2,030",42.3,"1,554",32.4,577,12.0
Chadderton Central,E05000720,435,9.6,"1,245",27.4,"2,078",45.8,779,17.2
Chadderton North,E05000721,258,5.7,"1,503",33.4,"1,971",43.8,770,17.1
Chadderton South,E05000722,412,8.5,"1,610",33.2,"2,503",51.6,328,6.8
Coldhurst,E05000723,865,20.0,"1,501",34.7,"1,219",28.2,737,17.1
Crompton (Oldham),E05000724,310,6.7,"1,456",31.7,"2,182",47.5,645,14.0
Failsworth East,E05000725,443,9.4,"1,802",38.3,"1,856",39.5,601,12.8
Failsworth West,E05000726,394,8.2,"1,738",36.3,"2,231",46.6,425,8.9
Hollinwood,E05000727,460,9.6,"1,892",39.4,"2,037",42.4,411,8.6
Medlock Vale,E05000728,388,7.7,"1,913",38.2,"2,030",40.5,680,13.6
Royton North,E05000729,388,8.7,"1,158",26.1,"2,211",49.7,688,15.5
Royton South,E05000730,445,9.2,"1,630",33.8,"2,144",44.4,608,12.6
Saddleworth North,E05000731,257,6.0,"1,103",25.9,"1,689",39.7,"1,208",28.4
Saddleworth South,E05000732,367,8.3,"1,101",24.8,"1,668",37.6,"1,296",29.2
Saddleworth West and Lees,E05000733,301,6.2,"1,729",35.5,"2,037",41.8,806,16.5
Shaw (Oldham),E05000736,485,10.8,"1,715",38.1,"1,692",37.6,613,13.6
St James' (Oldham),E05000734,221,4.5,"1,835",37.5,"2,324",47.6,507,10.4
St Mary's (Oldham),E05000735,483,10.3,"1,741",37.0,"1,482",31.5,999,21.2
Waterhead,E05000737,588,11.3,"2,128",41.1,"1,836",35.4,629,12.1
Werneth,E05000738,350,8.5,"1,455",35.3,"1,233",29.9,"1,082",26.3
Balderstone & Kirkholt,E05014033,551,12.1,"1,578",34.8,"1,846",40.7,562,12.4
Bamford,E05014034,231,5.5,"1,091",25.9,"1,521",36.1,"1,375",32.6
Castleton,E05014035,443,10.1,"1,425",32.5,"1,857",42.4,659,15.0
Central Rochdale,E05014036,553,13.0,"1,773",41.6,"1,270",29.8,663,15.6
East Middleton,E05014037,609,12.3,"1,691",34.2,"2,192",44.3,457,9.2
Healey,E05014038,302,7.2,"1,154",27.4,"1,821",43.2,938,22.3
Hopwood Hall,E05014039,540,11.7,"1,247",27.0,"1,986",43.1,837,18.2
Kingsway (Rochdale),E05014040,399,9.7,"1,070",26.0,"1,987",48.3,662,16.1
Littleborough Lakeside,E05014041,325,7.6,"1,278",30.0,"1,958",46.0,698,16.4
Milkstone & Deeplish,E05014042,468,12.6,"1,313",35.3,"1,259",33.8,681,18.3
Milnrow & Newhey,E05014043,354,7.5,"1,495",31.7,"2,094",44.4,778,16.5
Norden (Rochdale),E05014044,126,3.1,903,22.3,"1,645",40.6,"1,375",34.0
North Heywood,E05014045,772,15.1,"1,942",38.0,"1,898",37.1,504,9.9
North Middleton,E05014046,466,9.1,"1,672",32.5,"2,518",49.0,488,9.5
Smallbridge & Firgrove,E05014047,788,16.7,"1,331",28.3,"2,044",43.4,548,11.6
South Middleton,E05014048,419,8.9,843,17.9,"2,510",53.2,945,20.0
Spotland & Falinge,E05014049,797,16.6,"1,550",32.2,"1,953",40.6,510,10.6
"Wardle, Shore & West Littleborough",E05014050,217,5.0,"1,013",23.6,"2,080",48.4,990,23.0
West Heywood,E05014051,402,7.9,"1,829",35.7,"2,507",49.0,383,7.5
West Middleton,E05014052,255,6.0,"1,252",29.4,"2,314",54.3,443,10.4
Barton & Winton,E05013018,970,13.6,"2,725",38.3,"2,933",41.2,496,7.0
Blackfriars & Trinity,E05013019,"1,893",32.2,"3,194",54.3,713,12.1,85,1.4
Boothstown & Ellenbrook,E05013020,116,2.2,931,18.0,"2,305",44.6,"1,818",35.2
Broughton (Salford),E05013021,"1,305",21.0,"2,049",32.9,"1,827",29.3,"1,046",16.8
Cadishead & Lower Irlam,E05013022,424,8.1,"1,305",25.0,"2,827",54.1,672,12.9
Claremont (Salford),E05013023,424,7.7,"1,070",19.4,"3,242",58.7,784,14.2
Eccles,E05013024,"1,353",20.0,"2,095",31.0,"2,060",30.5,"1,247",18.5
Higher Irlam & Peel Green,E05013025,405,6.9,"1,559",26.5,"3,431",58.4,483,8.2
Kersal & Broughton Park,E05013026,843,15.9,"1,510",28.5,"1,503",28.3,"1,449",27.3
Little Hulton,E05013027,590,10.3,"1,861",32.5,"2,830",49.5,437,7.6
Ordsall,E05013028,"1,160",23.5,"2,519",50.9,"1,040",21.0,226,4.6
Pendlebury & Clifton,E05013029,618,10.7,"2,224",38.5,"2,336",40.5,593,10.3
Pendleton & Charlestown,E05013030,"1,150",17.8,"3,186",49.4,"1,599",24.8,519,8.0
Quays,E05013031,"1,785",34.7,"2,801",54.5,497,9.7,56,1.1
Swinton & Wardley,E05013032,398,7.2,"1,943",35.3,"2,782",50.5,388,7.0
Swinton Park,E05013033,273,5.1,"1,271",23.7,"3,117",58.0,713,13.3
Walkden North,E05013034,682,11.4,"2,022",33.8,"2,688",44.9,590,9.9
Walkden South,E05013035,290,5.6,"1,464",28.4,"2,451",47.5,952,18.5
Weaste & Seedley,E05013036,912,12.8,"2,832",39.8,"2,649",37.2,729,10.2
Worsley & Westwood Park,E05013037,304,6.3,734,15.1,"2,596",53.5,"1,214",25.0
Ainsdale,E05000932,337,6.1,860,15.6,"2,757",50.0,"1,562",28.3
Birkdale,E05000933,289,5.3,"1,126",20.7,"2,606",47.9,"1,423",26.1
Blundellsands,E05000934,321,6.4,"1,280",25.6,"1,588",31.8,"1,802",36.1
Cambridge,E05000935,"1,609",25.2,"2,211",34.7,"1,601",25.1,958,15.0
Church (Sefton),E05000936,"1,108",19.3,"1,510",26.3,"1,982",34.5,"1,141",19.9
Derby (Sefton),E05000937,635,11.1,"1,231",21.5,"3,267",57.2,580,10.2
Duke's,E05000938,"2,046",28.1,"2,659",36.5,"1,314",18.1,"1,257",17.3
Ford,E05000939,613,11.0,"1,136",20.3,"3,249",58.1,594,10.6
Harington,E05000940,155,3.2,556,11.5,"1,836",37.9,"2,297",47.4
Kew (Sefton),E05000941,455,7.8,"1,527",26.1,"2,693",46.0,"1,179",20.1
Linacre (Sefton),E05000942,989,15.3,"2,473",38.3,"2,396",37.1,604,9.3
Litherland,E05000943,400,7.4,"1,195",22.1,"3,388",62.6,426,7.9
Manor (Sefton),E05000944,348,6.5,756,14.0,"2,926",54.4,"1,351",25.1
Meols,E05000945,213,4.0,"1,124",21.2,"2,976",56.2,978,18.5
Molyneux,E05000946,128,2.5,611,11.9,"3,481",67.6,931,18.1
Netherton and Orrell,E05000947,228,4.3,557,10.5,"3,918",73.6,618,11.6
Norwood,E05000948,363,6.0,"1,599",26.3,"2,912",47.8,"1,212",19.9
Park (Sefton),E05000949,302,5.9,788,15.5,"2,803",55.0,"1,199",23.5
Ravenmeols,E05000950,184,3.5,969,18.4,"2,768",52.5,"1,352",25.6
St Oswald (Sefton),E05000951,397,7.8,"1,027",20.1,"3,251",63.7,430,8.4
Sudell,E05000952,216,3.8,822,14.6,"3,495",62.0,"1,100",19.5
Victoria (Sefton),E05000953,306,5.5,668,12.1,"3,008",54.5,"1,542",27.9
Billinge & Seneley Green,E05014120,158,3.4,928,20.2,"2,727",59.2,792,17.2
Blackbrook (St. Helens),E05014121,141,3.1,952,20.9,"3,141",69.0,320,7.0
Bold & Lea Green,E05014122,252,5.1,919,18.5,"2,930",59.0,864,17.4
Eccleston,E05014123,174,3.9,591,13.2,"2,512",55.9,"1,215",27.0
Haydock,E05014124,305,6.3,"1,187",24.6,"2,778",57.6,555,11.5
Moss Bank,E05014125,332,6.9,"1,105",22.8,"2,987",61.7,418,8.6
Newton-le-Willows East,E05014126,267,4.9,"1,316",24.2,"2,936",54.0,919,16.9
Newton-le-Willows West,E05014127,528,9.2,"1,779",31.0,"2,777",48.4,650,11.3
Parr,E05014128,466,8.5,"1,834",33.6,"2,890",52.9,274,5.0
Peasley Cross & Fingerpost,E05014129,108,7.2,623,41.6,682,45.5,85,5.7
Rainford,E05014130,103,2.9,729,20.8,"1,921",54.8,750,21.4
Rainhill,E05014131,147,3.0,901,18.2,"3,025",61.0,889,17.9
St Helens Town Centre,E05014132,824,20.2,"1,762",43.2,"1,322",32.4,174,4.3
Sutton North West,E05014133,150,4.8,654,20.9,"2,092",66.9,230,7.4
Sutton South East,E05014134,174,5.9,884,29.9,"1,602",54.1,300,10.1
Thatto Heath,E05014135,444,7.8,"1,593",27.9,"2,832",49.5,850,14.9
West Park (St. Helens),E05014136,312,5.7,"2,066",37.8,"2,615",47.8,478,8.7
Windle,E05014137,308,6.5,"1,028",21.5,"2,740",57.4,698,14.6
Bramhall North,E05000779,191,3.6,899,17.0,"1,890",35.7,"2,309",43.7
Bramhall South and Woodford,E05000780,120,2.3,638,12.2,"2,005",38.5,"2,449",47.0
Bredbury Green and Romiley,E05000782,686,10.9,"1,654",26.2,"2,828",44.7,"1,152",18.2
Bredbury and Woodley,E05000781,469,7.8,"1,832",30.4,"2,877",47.7,851,14.1
Brinnington and Central,E05000783,"2,444",28.2,"3,578",41.2,"2,275",26.2,384,4.4
Cheadle Hulme North,E05000785,482,8.2,"1,345",23.0,"2,869",49.0,"1,155",19.7
Cheadle Hulme South,E05000786,513,8.8,900,15.4,"2,369",40.5,"2,074",35.4
Cheadle and Gatley,E05000784,513,8.0,"1,194",18.7,"2,559",40.1,"2,117",33.2
Davenport and Cale Green,E05000787,601,9.0,"2,263",34.1,"3,048",45.9,730,11.0
Edgeley and Cheadle Heath,E05000788,531,8.3,"2,777",43.7,"2,564",40.3,488,7.7
Hazel Grove,E05000789,426,7.0,"1,539",25.4,"2,807",46.3,"1,294",21.3
Heald Green,E05000790,170,3.4,796,15.9,"2,722",54.4,"1,312",26.2
Heatons North,E05000791,811,13.6,"1,168",19.6,"1,970",33.1,"1,996",33.6
Heatons South,E05000792,566,9.4,"1,427",23.8,"2,570",42.8,"1,444",24.0
Manor (Stockport),E05000793,579,9.3,"2,147",34.5,"2,935",47.1,565,9.1
Marple North,E05000794,170,3.3,879,16.9,"2,079",40.0,"2,066",39.8
Marple South and High Lane,E05000795,444,8.4,"1,348",25.4,"2,305",43.4,"1,208",22.8
Offerton,E05000796,580,9.8,"1,308",22.0,"2,983",50.3,"1,062",17.9
Reddish North,E05000797,744,11.1,"2,457",36.8,"3,013",45.1,463,6.9
Reddish South,E05000798,646,10.5,"2,149",35.0,"2,680",43.7,658,10.7
Stepping Hill,E05000799,367,6.6,"1,213",21.9,"2,686",48.4,"1,279",23.1
Ashton Hurst,E05000800,258,5.4,"1,470",30.9,"2,183",45.9,845,17.8
Ashton St Michael's,E05000801,485,9.1,"2,312",43.5,"1,993",37.5,524,9.9
Ashton Waterloo,E05000802,622,12.8,"1,639",33.7,"1,985",40.8,624,12.8
Audenshaw,E05000803,458,8.5,"1,501",27.9,"2,642",49.2,772,14.4
Denton North East,E05000804,413,8.1,"2,081",41.0,"2,139",42.2,438,8.6
Denton South,E05000805,563,11.0,"1,819",35.6,"2,346",45.9,388,7.6
Denton West,E05000806,257,5.1,"1,446",28.7,"2,679",53.1,664,13.2
Droylsden East,E05000807,566,10.6,"1,706",31.8,"2,429",45.3,661,12.3
Droylsden West,E05000808,243,5.1,"1,177",24.5,"3,067",63.9,309,6.4
Dukinfield,E05000809,794,14.3,"1,867",33.7,"2,233",40.3,642,11.6
Dukinfield Stalybridge,E05000810,772,14.9,"1,668",32.3,"2,230",43.1,501,9.7
Hyde Godley,E05000811,621,11.4,"1,964",36.0,"2,133",39.1,739,13.5
Hyde Newton,E05000812,775,11.9,"1,975",30.2,"3,033",46.4,751,11.5
Hyde Werneth,E05000813,336,7.0,"1,702",35.7,"1,989",41.7,746,15.6
Longdendale,E05000814,325,7.0,"1,611",34.6,"2,105",45.2,619,13.3
Mossley,E05000815,438,8.5,"2,174",42.1,"1,862",36.0,695,13.4
St Peter's (Tameside),E05000816,"1,287",20.7,"2,803",45.1,"1,611",25.9,514,8.3
Stalybridge North,E05000817,685,12.4,"1,580",28.5,"2,506",45.3,767,13.8
Stalybridge South,E05000818,214,4.5,"1,258",26.4,"2,114",44.4,"1,177",24.7
Altrincham,E05000819,629,11.2,"1,669",29.8,"2,078",37.1,"1,232",22.0
Ashton upon Mersey,E05000820,488,11.3,"1,069",24.7,"1,635",37.8,"1,136",26.2
Bowdon,E05000821,238,6.4,815,21.8,"1,025",27.4,"1,660",44.4
Broadheath (Trafford),E05000822,279,5.0,"1,353",24.3,"2,702",48.5,"1,238",22.2
Brooklands (Trafford),E05000823,324,7.7,630,15.0,"1,977",47.0,"1,271",30.2
Bucklow-St Martins,E05000824,294,7.0,"1,187",28.4,"2,302",55.0,402,9.6
Clifford,E05000825,"1,053",20.2,"1,429",27.4,"1,834",35.2,893,17.1
Davyhulme East,E05000826,264,6.6,518,13.0,"2,539",63.7,664,16.7
Davyhulme West,E05000827,178,4.3,590,14.4,"2,411",58.7,929,22.6
Flixton,E05000828,416,9.0,844,18.3,"2,393",52.0,951,20.7
Gorse Hill (Trafford),E05000829,384,7.6,"1,551",30.6,"2,690",53.1,440,8.7
Hale Barns,E05000830,193,5.1,475,12.4,"1,192",31.2,"1,961",51.3
Hale Central,E05000831,147,3.5,984,23.5,"1,241",29.7,"1,807",43.2
Longford (Trafford),E05000832,822,16.0,"1,071",20.8,"2,472",48.0,784,15.2
Priory (Trafford),E05000833,819,16.3,"1,720",34.2,"1,550",30.8,936,18.6
Sale Moor,E05000835,357,8.1,969,22.0,"2,294",52.2,777,17.7
St Mary's (Trafford),E05000834,505,10.5,"1,018",21.2,"2,068",43.0,"1,221",25.4
Stretford,E05000836,600,12.9,962,20.6,"2,336",50.0,771,16.5
Timperley,E05000837,73,1.7,467,10.7,"2,478",56.5,"1,365",31.1
Urmston,E05000838,711,14.5,"1,077",21.9,"2,169",44.2,955,19.4
Village (Trafford),E05000839,354,8.2,958,22.2,"2,034",47.1,973,22.5
Bebington,E05000954,478,7.3,880,13.5,"3,805",58.2,"1,375",21.0
Bidston and St James,E05000955,653,9.2,"2,206",31.2,"3,477",49.2,725,10.3
