ward,wardcode,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p
Royton South,E05000730,950,18.7,910,17.9,658,12.9,448,8.8,133,2.6,44,0.9,36,0.7,46,0.9
Saddleworth North,E05000731,252,5.2,445,9.2,805,16.7,678,14.0,179,3.7,64,1.3,45,0.9,36,0.7
Saddleworth South,E05000732,295,6.2,321,6.8,838,17.7,642,13.6,170,3.6,53,1.1,46,1.0,41,0.9
Saddleworth West and Lees,E05000733,456,8.5,"1,158",21.5,706,13.1,613,11.4,147,2.7,61,1.1,30,0.6,36,0.7
Shaw (Oldham),E05000736,477,10.4,881,19.2,818,17.8,512,11.2,158,3.4,31,0.7,20,0.4,43,0.9
St James' (Oldham),E05000734,808,14.5,"1,199",21.6,838,15.1,554,10.0,122,2.2,49,0.9,30,0.5,53,1.0
St Mary's (Oldham),E05000735,"1,101",21.5,766,14.9,721,14.1,515,10.0,118,2.3,62,1.2,63,1.2,70,1.4
Waterhead,E05000737,834,15.7,"1,117",21.0,792,14.9,506,9.5,142,2.7,55,1.0,40,0.8,52,1.0
Werneth,E05000738,865,18.8,591,12.9,724,15.8,403,8.8,93,2.0,79,1.7,67,1.5,51,1.1
Balderstone & Kirkholt,E05014033,600,12.9,"1,078",23.2,706,15.2,510,11.0,130,2.8,31,0.7,31,0.7,61,1.3
Bamford,E05014034,371,8.5,851,19.5,540,12.4,491,11.3,130,3.0,49,1.1,57,1.3,66,1.5
Castleton,E05014035,440,9.8,"1,027",22.8,704,15.7,407,9.1,98,2.2,41,0.9,32,0.7,27,0.6
Central Rochdale,E05014036,"1,025",23.9,633,14.7,486,11.3,488,11.4,205,4.8,59,1.4,29,0.7,44,1.0
East Middleton,E05014037,609,12.0,767,15.1,"1,082",21.3,401,7.9,96,1.9,45,0.9,30,0.6,50,1.0
Healey,E05014038,656,14.3,820,17.9,543,11.9,560,12.2,145,3.2,38,0.8,28,0.6,46,1.0
Hopwood Hall,E05014039,527,10.7,721,14.6,"1,037",21.0,495,10.0,110,2.2,50,1.0,46,0.9,58,1.2
Kingsway (Rochdale),E05014040,970,21.7,536,12.0,543,12.1,441,9.9,166,3.7,59,1.3,42,0.9,48,1.1
Littleborough Lakeside,E05014041,491,10.8,513,11.3,558,12.3,707,15.6,262,5.8,79,1.7,28,0.6,33,0.7
Milkstone & Deeplish,E05014042,943,24.8,466,12.3,455,12.0,391,10.3,118,3.1,47,1.2,26,0.7,47,1.2
Milnrow & Newhey,E05014043,406,8.0,854,16.9,828,16.4,612,12.1,201,4.0,56,1.1,31,0.6,40,0.8
Norden (Rochdale),E05014044,237,4.8,877,17.9,686,14.0,625,12.8,178,3.6,72,1.5,45,0.9,33,0.7
North Heywood,E05014045,704,14.0,887,17.7,921,18.3,510,10.2,152,3.0,38,0.8,34,0.7,71,1.4
North Middleton,E05014046,723,13.2,865,15.8,"1,179",21.5,531,9.7,110,2.0,43,0.8,32,0.6,50,0.9
Smallbridge & Firgrove,E05014047,744,16.8,993,22.4,506,11.4,486,11.0,174,3.9,64,1.4,28,0.6,39,0.9
South Middleton,E05014048,389,7.6,711,13.9,"1,208",23.5,406,7.9,84,1.6,53,1.0,38,0.7,60,1.2
Spotland & Falinge,E05014049,764,16.9,796,17.6,632,14.0,486,10.7,134,3.0,55,1.2,50,1.1,36,0.8
"Wardle, Shore & West Littleborough",E05014050,535,10.4,865,16.9,580,11.3,745,14.5,257,5.0,48,0.9,23,0.4,42,0.8
West Heywood,E05014051,859,16.2,914,17.2,893,16.8,616,11.6,147,2.8,49,0.9,35,0.7,57,1.1
West Middleton,E05014052,375,8.7,679,15.7,"1,007",23.3,484,11.2,100,2.3,50,1.2,31,0.7,53,1.2
Barton & Winton,E05013018,"1,158",15.1,"1,421",18.5,"1,126",14.7,625,8.1,114,1.5,46,0.6,47,0.6,82,1.1
Blackfriars & Trinity,E05013019,"1,357",18.9,775,10.8,411,5.7,504,7.0,89,1.2,84,1.2,65,0.9,59,0.8
Boothstown & Ellenbrook,E05013020,229,3.7,473,7.6,"1,105",17.9,913,14.7,192,3.1,95,1.5,52,0.8,58,0.9
Broughton (Salford),E05013021,"1,395",22.4,"1,254",20.2,622,10.0,488,7.8,86,1.4,30,0.5,55,0.9,71,1.1
Cadishead & Lower Irlam,E05013022,800,13.7,340,5.8,"1,012",17.3,"1,068",18.3,158,2.7,63,1.1,30,0.5,58,1.0
Claremont (Salford),E05013023,880,13.2,"1,388",20.8,736,11.0,526,7.9,144,2.2,38,0.6,55,0.8,54,0.8
Eccles,E05013024,958,13.4,"1,039",14.5,872,12.2,551,7.7,132,1.8,55,0.8,64,0.9,52,0.7
Higher Irlam & Peel Green,E05013025,694,10.9,"1,072",16.8,"1,234",19.4,744,11.7,140,2.2,43,0.7,43,0.7,45,0.7
Kersal & Broughton Park,E05013026,"1,698",26.4,"1,066",16.6,682,10.6,358,5.6,73,1.1,34,0.5,54,0.8,78,1.2
Little Hulton,E05013027,649,12.3,605,11.5,"1,001",19.0,879,16.7,185,3.5,37,0.7,24,0.5,79,1.5
Ordsall,E05013028,"1,006",17.8,956,16.9,407,7.2,390,6.9,74,1.3,48,0.8,60,1.1,80,1.4
Pendlebury & Clifton,E05013029,562,9.2,"1,031",16.9,"1,187",19.5,512,8.4,126,2.1,54,0.9,33,0.5,58,1.0
Pendleton & Charlestown,E05013030,878,14.1,"1,671",26.7,484,7.7,553,8.9,117,1.9,67,1.1,90,1.4,153,2.4
Quays,E05013031,681,9.8,"1,179",17.0,473,6.8,486,7.0,122,1.8,65,0.9,76,1.1,72,1.0
Swinton & Wardley,E05013032,656,10.9,938,15.6,"1,173",19.5,510,8.5,95,1.6,47,0.8,38,0.6,33,0.5
Swinton Park,E05013033,660,10.6,"1,075",17.3,920,14.8,484,7.8,113,1.8,63,1.0,38,0.6,52,0.8
Walkden North,E05013034,604,9.7,654,10.5,"1,081",17.4,935,15.1,219,3.5,56,0.9,31,0.5,50,0.8
Walkden South,E05013035,357,6.1,516,8.8,980,16.7,857,14.6,178,3.0,57,1.0,36,0.6,41,0.7
Weaste & Seedley,E05013036,"1,371",17.5,"1,790",22.8,662,8.4,579,7.4,137,1.7,45,0.6,65,0.8,89,1.1
Worsley & Westwood Park,E05013037,373,6.7,873,15.8,837,15.1,518,9.3,105,1.9,67,1.2,54,1.0,54,1.0
Ainsdale,E05000932,240,4.7,526,10.2,802,15.6,697,13.5,463,9.0,121,2.3,45,0.9,41,0.8
Birkdale,E05000933,630,10.3,"1,146",18.7,318,5.2,594,9.7,516,8.4,117,1.9,52,0.8,50,0.8
Blundellsands,E05000934,452,8.5,293,5.5,792,14.9,734,13.8,133,2.5,56,1.1,64,1.2,51,1.0
Cambridge,E05000935,649,14.0,742,16.0,253,5.5,421,9.1,459,9.9,100,2.2,60,1.3,64,1.4
Church (Sefton),E05000936,617,10.9,693,12.2,914,16.1,638,11.2,139,2.4,45,0.8,47,0.8,56,1.0
Derby (Sefton),E05000937,807,14.5,"1,028",18.5,767,13.8,468,8.4,230,4.1,30,0.5,52,0.9,38,0.7
Duke's,E05000938,"1,122",19.0,673,11.4,379,6.4,583,9.9,555,9.4,91,1.5,62,1.0,60,1.0
Ford,E05000939,574,10.1,"1,179",20.8,793,14.0,567,10.0,136,2.4,41,0.7,47,0.8,54,1.0
Harington,E05000940,413,8.7,127,2.7,304,6.4,"1,093",23.0,212,4.5,99,2.1,71,1.5,77,1.6
Kew (Sefton),E05000941,"1,612",24.8,783,12.0,303,4.7,647,10.0,513,7.9,112,1.7,40,0.6,50,0.8
Linacre (Sefton),E05000942,734,14.0,934,17.8,762,14.6,553,10.6,261,5.0,26,0.5,35,0.7,48,0.9
Litherland,E05000943,734,13.0,997,17.7,846,15.0,531,9.4,164,2.9,37,0.7,57,1.0,39,0.7
Manor (Sefton),E05000944,393,7.1,629,11.4,702,12.8,886,16.1,145,2.6,68,1.2,63,1.1,50,0.9
Meols,E05000945,386,7.1,"1,121",20.6,396,7.3,421,7.8,559,10.3,173,3.2,69,1.3,48,0.9
Molyneux,E05000946,386,6.4,796,13.2,929,15.4,933,15.5,170,2.8,47,0.8,64,1.1,56,0.9
Netherton and Orrell,E05000947,716,11.9,"1,010",16.7,873,14.5,641,10.6,189,3.1,45,0.7,68,1.1,56,0.9
Norwood,E05000948,"1,565",22.0,"1,036",14.6,279,3.9,620,8.7,599,8.4,138,1.9,62,0.9,61,0.9
Park (Sefton),E05000949,299,5.3,329,5.9,983,17.6,"1,013",18.1,238,4.3,53,0.9,62,1.1,49,0.9
Ravenmeols,E05000950,596,11.4,116,2.2,443,8.5,"1,149",22.0,283,5.4,93,1.8,65,1.2,46,0.9
St Oswald (Sefton),E05000951,486,10.3,900,19.1,618,13.1,554,11.8,117,2.5,45,1.0,33,0.7,50,1.1
Sudell,E05000952,423,6.9,375,6.2,"1,024",16.8,"1,186",19.5,188,3.1,59,1.0,65,1.1,56,0.9
Victoria (Sefton),E05000953,684,10.2,509,7.6,974,14.5,890,13.3,184,2.7,73,1.1,49,0.7,69,1.0
Billinge & Seneley Green,E05014120,196,4.2,505,10.9,905,19.5,624,13.4,326,7.0,86,1.9,24,0.5,51,1.1
Blackbrook (St. Helens),E05014121,459,9.8,"1,094",23.3,596,12.7,622,13.3,183,3.9,73,1.6,9,0.2,38,0.8
Bold & Lea Green,E05014122,341,6.1,"1,210",21.6,833,14.9,771,13.8,156,2.8,94,1.7,19,0.3,49,0.9
Eccleston,E05014123,295,6.4,695,15.1,537,11.7,789,17.2,93,2.0,80,1.7,33,0.7,47,1.0
Haydock,E05014124,660,13.5,660,13.5,814,16.7,618,12.7,249,5.1,90,1.8,21,0.4,53,1.1
Moss Bank,E05014125,313,6.6,928,19.6,744,15.7,699,14.8,161,3.4,100,2.1,27,0.6,45,0.9
Newton-le-Willows East,E05014126,497,8.0,613,9.9,"1,046",16.8,644,10.4,492,7.9,122,2.0,24,0.4,55,0.9
Newton-le-Willows West,E05014127,572,9.3,727,11.8,"1,087",17.6,594,9.6,431,7.0,107,1.7,22,0.4,56,0.9
Parr,E05014128,673,13.6,"1,247",25.3,665,13.5,563,11.4,162,3.3,88,1.8,11,0.2,45,0.9
Peasley Cross & Fingerpost,E05014129,267,20.7,187,14.5,223,17.3,156,12.1,33,2.6,18,1.4,1,0.1,19,1.5
Rainford,E05014130,203,6.0,156,4.6,638,18.8,657,19.3,104,3.1,72,2.1,30,0.9,37,1.1
Rainhill,E05014131,531,10.4,656,12.9,669,13.1,827,16.2,81,1.6,87,1.7,40,0.8,57,1.1
St Helens Town Centre,E05014132,723,20.8,481,13.9,567,16.3,495,14.3,71,2.0,63,1.8,7,0.2,29,0.8
Sutton North West,E05014133,449,13.6,593,18.0,472,14.3,453,13.7,110,3.3,61,1.9,20,0.6,25,0.8
Sutton South East,E05014134,305,9.6,632,19.8,485,15.2,409,12.8,102,3.2,71,2.2,10,0.3,32,1.0
Thatto Heath,E05014135,590,10.2,"1,238",21.4,767,13.3,861,14.9,116,2.0,90,1.6,24,0.4,54,0.9
West Park (St. Helens),E05014136,771,13.9,"1,065",19.2,689,12.4,794,14.3,101,1.8,90,1.6,22,0.4,55,1.0
Windle,E05014137,584,11.4,728,14.3,733,14.4,863,16.9,108,2.1,101,2.0,38,0.7,32,0.6
Bramhall North,E05000779,341,5.7,854,14.4,608,10.2,659,11.1,85,1.4,36,0.6,55,0.9,51,0.9
Bramhall South and Woodford,E05000780,281,4.8,593,10.1,699,12.0,689,11.8,124,2.1,56,1.0,49,0.8,63,1.1
Bredbury Green and Romiley,E05000782,486,8.0,872,14.3,966,15.8,710,11.6,69,1.1,38,0.6,54,0.9,41,0.7
Bredbury and Woodley,E05000781,517,7.9,"1,056",16.2,980,15.0,777,11.9,82,1.3,46,0.7,43,0.7,48,0.7
Brinnington and Central,E05000783,"1,081",14.5,"1,374",18.4,"1,244",16.7,677,9.1,76,1.0,46,0.6,57,0.8,64,0.9
Cheadle Hulme North,E05000785,610,9.5,994,15.5,822,12.8,598,9.3,87,1.4,39,0.6,58,0.9,44,0.7
Cheadle Hulme South,E05000786,514,7.4,889,12.9,796,11.5,758,11.0,133,1.9,41,0.6,60,0.9,63,0.9
Cheadle and Gatley,E05000784,474,6.4,864,11.6,"1,212",16.3,680,9.1,173,2.3,38,0.5,88,1.2,65,0.9
Davenport and Cale Green,E05000787,929,12.2,"1,539",20.2,917,12.0,663,8.7,117,1.5,37,0.5,36,0.5,48,0.6
Edgeley and Cheadle Heath,E05000788,853,11.7,"1,187",16.2,"1,122",15.3,605,8.3,98,1.3,36,0.5,55,0.8,50,0.7
Hazel Grove,E05000789,821,12.3,791,11.9,823,12.3,849,12.7,91,1.4,44,0.7,37,0.6,60,0.9
Heald Green,E05000790,442,7.7,717,12.5,869,15.1,690,12.0,134,2.3,24,0.4,56,1.0,46,0.8
