ward,wardcode,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p
Bebington,E05000954,507,7.2,"1,187",16.8,"1,399",19.8,706,10.0,164,2.3,78,1.1,73,1.0,63,0.9
Bidston and St James,E05000955,796,13.2,"1,581",26.2,939,15.6,486,8.1,193,3.2,33,0.5,40,0.7,58,1.0
Birkenhead and Tranmere,E05000956,"1,164",18.7,"1,157",18.6,"1,020",16.4,449,7.2,173,2.8,37,0.6,39,0.6,74,1.2
Bromborough,E05000957,921,11.8,"1,017",13.0,"1,602",20.4,955,12.2,137,1.7,88,1.1,67,0.9,79,1.0
Clatterbridge,E05000958,401,6.6,607,10.0,"1,221",20.1,819,13.5,93,1.5,65,1.1,65,1.1,59,1.0
Claughton,E05000959,736,11.1,"1,428",21.5,926,13.9,541,8.1,210,3.2,41,0.6,60,0.9,85,1.3
Eastham,E05000960,421,6.6,795,12.4,"1,218",19.0,"1,220",19.0,107,1.7,56,0.9,75,1.2,80,1.2
"Greasby, Frankby and Irby",E05000961,425,6.8,715,11.4,"1,135",18.0,753,12.0,231,3.7,51,0.8,69,1.1,78,1.2
Heswall,E05000962,315,5.7,343,6.2,996,18.1,804,14.6,141,2.6,65,1.2,58,1.1,62,1.1
Hoylake and Meols,E05000963,387,6.7,342,6.0,698,12.1,"1,042",18.1,273,4.8,62,1.1,53,0.9,85,1.5
Leasowe and Moreton East,E05000964,519,8.2,"1,122",17.7,"1,262",19.9,685,10.8,264,4.2,48,0.8,51,0.8,65,1.0
Liscard,E05000965,"1,013",15.2,"1,225",18.3,960,14.4,499,7.5,253,3.8,28,0.4,60,0.9,83,1.2
Moreton West and Saughall Massie,E05000966,443,7.0,984,15.5,"1,191",18.8,730,11.5,280,4.4,64,1.0,57,0.9,67,1.1
New Brighton,E05000967,771,11.7,857,13.0,"1,016",15.4,602,9.1,260,3.9,35,0.5,60,0.9,65,1.0
Oxton,E05000968,604,9.4,"1,293",20.1,943,14.6,471,7.3,186,2.9,58,0.9,54,0.8,69,1.1
Pensby and Thingwall,E05000969,396,7.0,553,9.8,"1,251",22.1,654,11.5,193,3.4,56,1.0,52,0.9,76,1.3
Prenton,E05000970,608,9.0,"1,568",23.1,"1,061",15.7,531,7.8,198,2.9,49,0.7,60,0.9,100,1.5
Rock Ferry,E05000971,663,11.1,"1,426",23.9,"1,057",17.7,580,9.7,165,2.8,38,0.6,42,0.7,68,1.1
Seacombe,E05000972,"1,036",18.1,"1,263",22.0,845,14.7,465,8.1,141,2.5,19,0.3,39,0.7,47,0.8
Upton (Wirral),E05000973,982,14.2,"1,151",16.6,"1,397",20.2,553,8.0,229,3.3,43,0.6,78,1.1,120,1.7
Wallasey,E05000974,695,10.2,815,11.9,"1,152",16.9,541,7.9,290,4.2,40,0.6,82,1.2,89,1.3
West Kirby and Thurstaston,E05000975,374,6.9,376,7.0,636,11.8,903,16.8,277,5.1,45,0.8,42,0.8,66,1.2
