ward,wardcode,totalhouseholds
Quays,E05013031,"5,139"
Swinton & Wardley,E05013032,"5,513"
Swinton Park,E05013033,"5,374"
Walkden North,E05013034,"5,982"
Walkden South,E05013035,"5,157"
Weaste & Seedley,E05013036,"7,124"
Worsley & Westwood Park,E05013037,"4,848"
Ainsdale,E05000932,"5,515"
Birkdale,E05000933,"5,444"
Blundellsands,E05000934,"4,991"
Cambridge,E05000935,"6,379"
Church (Sefton),E05000936,"5,745"
Derby (Sefton),E05000937,"5,715"
Duke's,E05000938,"7,276"
Ford,E05000939,"5,592"
Harington,E05000940,"4,843"
Kew (Sefton),E05000941,"5,853"
Linacre (Sefton),E05000942,"6,460"
Litherland,E05000943,"5,409"
Manor (Sefton),E05000944,"5,379"
Meols,E05000945,"5,291"
Molyneux,E05000946,"5,151"
Netherton and Orrell,E05000947,"5,320"
Norwood,E05000948,"6,086"
Park (Sefton),E05000949,"5,091"
Ravenmeols,E05000950,"5,273"
St Oswald (Sefton),E05000951,"5,104"
Sudell,E05000952,"5,632"
Victoria (Sefton),E05000953,"5,524"
Billinge & Seneley Green,E05014120,"4,605"
Blackbrook (St. Helens),E05014121,"4,554"
Bold & Lea Green,E05014122,"4,962"
Eccleston,E05014123,"4,492"
Haydock,E05014124,"4,825"
Moss Bank,E05014125,"4,842"
Newton-le-Willows East,E05014126,"5,438"
Newton-le-Willows West,E05014127,"5,734"
Parr,E05014128,"5,464"
Peasley Cross & Fingerpost,E05014129,"1,498"
Rainford,E05014130,"3,503"
Rainhill,E05014131,"4,962"
St Helens Town Centre,E05014132,"4,082"
Sutton North West,E05014133,"3,126"
Sutton South East,E05014134,"2,959"
Thatto Heath,E05014135,"5,719"
West Park (St. Helens),E05014136,"5,468"
Windle,E05014137,"4,774"
Bramhall North,E05000779,"5,288"
Bramhall South and Woodford,E05000780,"5,212"
Bredbury Green and Romiley,E05000782,"6,320"
Bredbury and Woodley,E05000781,"6,029"
Brinnington and Central,E05000783,"8,681"
Cheadle Hulme North,E05000785,"5,852"
Cheadle Hulme South,E05000786,"5,856"
Cheadle and Gatley,E05000784,"6,383"
Davenport and Cale Green,E05000787,"6,643"
Edgeley and Cheadle Heath,E05000788,"6,360"
Hazel Grove,E05000789,"6,066"
Heald Green,E05000790,"5,000"
Heatons North,E05000791,"5,945"
Heatons South,E05000792,"6,007"
Manor (Stockport),E05000793,"6,226"
Marple North,E05000794,"5,194"
Marple South and High Lane,E05000795,"5,306"
Offerton,E05000796,"5,933"
Reddish North,E05000797,"6,675"
Reddish South,E05000798,"6,132"
Stepping Hill,E05000799,"5,543"
Ashton Hurst,E05000800,"4,757"
Ashton St Michael's,E05000801,"5,314"
Ashton Waterloo,E05000802,"4,870"
Audenshaw,E05000803,"5,373"
Denton North East,E05000804,"5,071"
Denton South,E05000805,"5,116"
Denton West,E05000806,"5,046"
Droylsden East,E05000807,"5,362"
Droylsden West,E05000808,"4,796"
Dukinfield,E05000809,"5,536"
Dukinfield Stalybridge,E05000810,"5,171"
Hyde Godley,E05000811,"5,457"
Hyde Newton,E05000812,"6,534"
Hyde Werneth,E05000813,"4,774"
Longdendale,E05000814,"4,662"
Mossley,E05000815,"5,172"
St Peter's (Tameside),E05000816,"6,216"
Stalybridge North,E05000817,"5,538"
Stalybridge South,E05000818,"4,763"
Altrincham,E05000819,"5,608"
Ashton upon Mersey,E05000820,"4,328"
Bowdon,E05000821,"3,739"
Broadheath (Trafford),E05000822,"5,572"
Brooklands (Trafford),E05000823,"4,203"
Bucklow-St Martins,E05000824,"4,184"
Clifford,E05000825,"5,207"
Davyhulme East,E05000826,"3,985"
Davyhulme West,E05000827,"4,108"
Flixton,E05000828,"4,604"
Gorse Hill (Trafford),E05000829,"5,065"
Hale Barns,E05000830,"3,820"
Hale Central,E05000831,"4,179"
Longford (Trafford),E05000832,"5,149"
Priory (Trafford),E05000833,"5,025"
Sale Moor,E05000835,"4,397"
St Mary's (Trafford),E05000834,"4,812"
Stretford,E05000836,"4,669"
Timperley,E05000837,"4,383"
Urmston,E05000838,"4,910"
