ward,wardcode,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
Allerton and Hunts Cross,E05000886,"1,995",27.8,625,8.7,"1,370",19.1,"5,190",72.2,"4,535",63.1,655,9.1
Anfield,E05000887,"1,922",32.5,598,10.1,"1,324",22.4,"3,990",67.5,"3,614",61.1,376,6.4
Belle Vale (Liverpool),E05000888,"2,024",32.4,578,9.3,"1,446",23.2,"4,218",67.6,"3,844",61.6,374,6.0
Central (Liverpool),E05000889,"3,307",39.6,"1,899",22.7,"1,408",16.8,"5,052",60.4,"4,423",52.9,629,7.5
Childwall,E05000890,"1,805",28.8,577,9.2,"1,228",19.6,"4,453",71.2,"3,935",62.9,518,8.3
Church (Liverpool),E05000891,"1,896",28.7,688,10.4,"1,208",18.3,"4,708",71.3,"4,041",61.2,667,10.1
Clubmoor,E05000892,"2,039",32.3,509,8.1,"1,530",24.3,"4,264",67.7,"3,919",62.2,345,5.5
County,E05000893,"1,779",32.8,498,9.2,"1,281",23.6,"3,648",67.2,"3,293",60.7,355,6.5
Cressington,E05000894,"1,994",28.8,593,8.6,"1,401",20.3,"4,920",71.2,"4,338",62.7,582,8.4
Croxteth,E05000895,"1,882",29.9,518,8.2,"1,364",21.7,"4,418",70.1,"3,977",63.1,441,7.0
Everton (Liverpool),E05000896,"2,169",36.4,718,12.1,"1,451",24.4,"3,782",63.6,"3,456",58.1,326,5.5
Fazakerley,E05000897,"2,218",29.3,626,8.3,"1,592",21.0,"5,349",70.7,"4,872",64.4,477,6.3
Greenbank,E05000898,"2,217",37.6,"1,070",18.1,"1,147",19.4,"3,685",62.4,"3,250",55.1,435,7.4
Kensington and Fairfield,E05000899,"2,361",38.5,862,14.1,"1,499",24.5,"3,764",61.5,"3,389",55.3,375,6.1
Kirkdale,E05000900,"2,421",32.3,804,10.7,"1,617",21.6,"5,070",67.7,"4,528",60.4,542,7.2
Knotty Ash,E05000901,"1,870",30.2,541,8.7,"1,329",21.5,"4,319",69.8,"3,881",62.7,438,7.1
Mossley Hill,E05000902,"1,535",26.4,480,8.2,"1,055",18.1,"4,289",73.6,"3,695",63.4,594,10.2
Norris Green,E05000903,"2,667",33.5,723,9.1,"1,944",24.4,"5,294",66.5,"4,798",60.3,496,6.2
Old Swan,E05000904,"2,161",31.6,587,8.6,"1,574",23.0,"4,670",68.4,"4,242",62.1,428,6.3
Picton,E05000905,"2,647",42.5,"1,079",17.3,"1,568",25.2,"3,578",57.5,"3,175",51.0,403,6.5
Princes Park (Liverpool),E05000906,"2,436",37.0,945,14.3,"1,491",22.6,"4,150",63.0,"3,680",55.9,470,7.1
Riverside (Liverpool),E05000907,"3,248",28.0,"1,226",10.6,"2,022",17.4,"8,370",72.0,"7,352",63.3,"1,018",8.8
Speke-Garston,E05000909,"2,768",30.8,837,9.3,"1,931",21.5,"6,212",69.2,"5,695",63.4,517,5.8
St Michael's (Liverpool),E05000908,"1,712",25.3,592,8.7,"1,120",16.5,"5,068",74.7,"4,462",65.8,606,8.9
Tuebrook and Stoneycroft,E05000910,"2,084",31.1,607,9.0,"1,477",22.0,"4,626",68.9,"4,190",62.4,436,6.5
Warbreck (Liverpool),E05000911,"2,056",28.9,598,8.4,"1,458",20.5,"5,052",71.1,"4,548",64.0,504,7.1
Wavertree,E05000912,"1,970",28.8,649,9.5,"1,321",19.3,"4,868",71.2,"4,322",63.2,546,8.0
West Derby,E05000913,"1,957",29.7,557,8.4,"1,400",21.2,"4,640",70.3,"4,088",62.0,552,8.4
Woolton,E05000914,"1,549",27.0,544,9.5,"1,005",17.5,"4,191",73.0,"3,531",61.5,660,11.5
Yew Tree,E05000915,"2,236",31.0,595,8.2,"1,641",22.7,"4,981",69.0,"4,403",61.0,578,8.0
Ancoats & Beswick,E05011350,"1,667",17.5,604,6.3,"1,063",11.1,"7,883",82.5,"7,005",73.4,878,9.2
Ardwick,E05011351,"2,746",40.5,"1,124",16.6,"1,622",23.9,"4,040",59.5,"3,683",54.3,357,5.3
Baguley,E05011352,"2,101",29.5,614,8.6,"1,487",20.8,"5,032",70.5,"4,564",64.0,468,6.6
Brooklands (Manchester),E05011353,"1,980",28.7,610,8.8,"1,370",19.9,"4,919",71.3,"4,424",64.1,495,7.2
Burnage,E05011354,"2,681",36.2,872,11.8,"1,809",24.4,"4,725",63.8,"4,289",57.9,436,5.9
Charlestown,E05011355,"2,180",30.6,568,8.0,"1,612",22.6,"4,945",69.4,"4,472",62.8,473,6.6
Cheetham,E05011356,"3,043",37.8,953,11.8,"2,090",26.0,"5,005",62.2,"4,490",55.8,515,6.4
Chorlton,E05011357,"1,798",23.9,589,7.8,"1,209",16.1,"5,733",76.1,"4,935",65.5,798,10.6
Chorlton Park,E05011358,"2,435",28.1,815,9.4,"1,620",18.7,"6,231",71.9,"5,480",63.2,751,8.7
Clayton & Openshaw,E05011359,"2,642",34.4,789,10.3,"1,853",24.1,"5,035",65.6,"4,549",59.3,486,6.3
Crumpsall,E05011360,"2,693",42.1,796,12.4,"1,897",29.7,"3,703",57.9,"3,336",52.2,367,5.7
Deansgate,E05011361,"1,356",18.5,685,9.4,671,9.2,"5,970",81.5,"5,108",69.7,862,11.8
Didsbury East,E05011362,"1,868",23.7,665,8.4,"1,203",15.3,"6,010",76.3,"5,062",64.3,948,12.0
Didsbury West,E05011363,"1,664",17.4,628,6.6,"1,036",10.9,"7,880",82.6,"6,551",68.6,"1,329",13.9
Fallowfield,E05011364,"2,162",45.2,"1,084",22.6,"1,078",22.5,"2,625",54.8,"2,410",50.3,215,4.5
Gorton & Abbey Hey,E05011365,"2,826",36.0,872,11.1,"1,954",24.9,"5,032",64.0,"4,529",57.6,503,6.4
Harpurhey,E05011366,"2,466",34.3,712,9.9,"1,754",24.4,"4,723",65.7,"4,278",59.5,445,6.2
Higher Blackley,E05011367,"2,110",33.8,594,9.5,"1,516",24.3,"4,141",66.2,"3,749",60.0,392,6.3
Hulme,E05011368,"2,609",29.3,"1,102",12.4,"1,507",16.9,"6,305",70.7,"5,664",63.5,641,7.2
Levenshulme,E05011369,"3,000",37.7,884,11.1,"2,116",26.6,"4,949",62.3,"4,525",56.9,424,5.3
Longsight,E05011370,"3,209",46.1,894,12.8,"2,315",33.3,"3,751",53.9,"3,401",48.9,350,5.0
Miles Platting & Newton Heath,E05011371,"2,383",31.8,685,9.1,"1,698",22.6,"5,121",68.2,"4,603",61.3,518,6.9
Moss Side (Manchester),E05011372,"3,045",42.9,"1,148",16.2,"1,897",26.7,"4,052",57.1,"3,719",52.4,333,4.7
Moston,E05011373,"2,536",32.3,783,10.0,"1,753",22.3,"5,311",67.7,"4,811",61.3,500,6.4
Northenden,E05011374,"1,928",30.0,633,9.9,"1,295",20.2,"4,494",70.0,"4,022",62.6,472,7.3
Old Moat,E05011375,"2,196",33.2,966,14.6,"1,230",18.6,"4,416",66.8,"3,974",60.1,442,6.7
Piccadilly,E05011376,"1,300",17.2,608,8.1,692,9.2,"6,245",82.8,"5,488",72.7,757,10.0
Rusholme,E05011377,"2,530",45.1,"1,084",19.3,"1,446",25.8,"3,083",54.9,"2,791",49.7,292,5.2
Sharston,E05011378,"2,304",32.3,716,10.0,"1,588",22.3,"4,832",67.7,"4,406",61.7,426,6.0
Whalley Range,E05011379,"2,467",32.0,847,11.0,"1,620",21.0,"5,232",68.0,"4,647",60.4,585,7.6
Withington,E05011380,"2,393",37.6,"1,134",17.8,"1,259",19.8,"3,968",62.4,"3,511",55.2,457,7.2
Woodhouse Park,E05011381,"2,109",32.1,615,9.3,"1,494",22.7,"4,471",67.9,"4,033",61.3,438,6.7
Alexandra (Oldham),E05000719,"1,729",40.3,489,11.4,"1,240",28.9,"2,563",59.7,"2,302",53.6,261,6.1
Chadderton Central,E05000720,"1,504",30.1,447,8.9,"1,057",21.1,"3,496",69.9,"3,127",62.5,369,7.4
