ward,wardcode,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
Manor (Stockport),E05000793,"2,096",29.0,615,8.5,"1,481",20.5,"5,130",71.0,"4,634",64.1,496,6.9
Marple North,E05000794,"1,714",30.2,623,11.0,"1,091",19.2,"3,959",69.8,"3,296",58.1,663,11.7
Marple South and High Lane,E05000795,"1,595",30.6,559,10.7,"1,036",19.8,"3,625",69.4,"3,125",59.9,500,9.6
Offerton,E05000796,"1,958",30.2,565,8.7,"1,393",21.5,"4,521",69.8,"4,003",61.8,518,8.0
Reddish North,E05000797,"2,081",27.7,620,8.2,"1,461",19.4,"5,441",72.3,"4,920",65.4,521,6.9
Reddish South,E05000798,"1,870",26.8,562,8.0,"1,308",18.7,"5,114",73.2,"4,568",65.4,546,7.8
Stepping Hill,E05000799,"1,827",27.6,596,9.0,"1,231",18.6,"4,802",72.4,"4,189",63.2,613,9.2
Ashton Hurst,E05000800,"1,389",28.3,433,8.8,956,19.5,"3,516",71.7,"3,143",64.1,373,7.6
Ashton St Michael's,E05000801,"1,586",27.9,430,7.6,"1,156",20.3,"4,100",72.1,"3,698",65.0,402,7.1
Ashton Waterloo,E05000802,"1,473",29.6,403,8.1,"1,070",21.5,"3,508",70.4,"3,153",63.3,355,7.1
Audenshaw,E05000803,"1,599",26.0,427,6.9,"1,172",19.0,"4,561",74.0,"4,067",66.0,494,8.0
Denton North East,E05000804,"1,432",27.2,421,8.0,"1,011",19.2,"3,825",72.8,"3,406",64.8,419,8.0
Denton South,E05000805,"1,329",27.9,376,7.9,953,20.0,"3,437",72.1,"3,114",65.3,323,6.8
Denton West,E05000806,"1,430",25.2,425,7.5,"1,005",17.7,"4,244",74.8,"3,804",67.0,440,7.8
Droylsden East,E05000807,"1,605",26.7,461,7.7,"1,144",19.0,"4,415",73.3,"3,965",65.9,450,7.5
Droylsden West,E05000808,"1,557",28.6,463,8.5,"1,094",20.1,"3,889",71.4,"3,515",64.5,374,6.9
Dukinfield,E05000809,"1,575",26.6,501,8.5,"1,074",18.2,"4,338",73.4,"3,892",65.8,446,7.5
Dukinfield Stalybridge,E05000810,"1,359",25.6,386,7.3,973,18.4,"3,941",74.4,"3,509",66.2,432,8.2
Hyde Godley,E05000811,"1,720",29.4,500,8.6,"1,220",20.9,"4,124",70.6,"3,694",63.2,430,7.4
Hyde Newton,E05000812,"1,878",26.0,511,7.1,"1,367",18.9,"5,342",74.0,"4,744",65.7,598,8.3
Hyde Werneth,E05000813,"1,640",31.2,467,8.9,"1,173",22.3,"3,620",68.8,"3,196",60.8,424,8.1
Longdendale,E05000814,"1,315",28.4,413,8.9,902,19.5,"3,311",71.6,"2,887",62.4,424,9.2
Mossley,E05000815,"1,471",25.7,463,8.1,"1,008",17.6,"4,263",74.3,"3,753",65.5,510,8.9
St Peter's (Tameside),E05000816,"1,808",32.3,534,9.5,"1,274",22.8,"3,791",67.7,"3,445",61.5,346,6.2
Stalybridge North,E05000817,"1,544",26.8,434,7.5,"1,110",19.3,"4,217",73.2,"3,764",65.3,453,7.9
Stalybridge South,E05000818,"1,503",27.3,475,8.6,"1,028",18.7,"3,997",72.7,"3,473",63.1,524,9.5
Altrincham,E05000819,"1,622",24.4,583,8.8,"1,039",15.6,"5,030",75.6,"4,263",64.1,767,11.5
Ashton upon Mersey,E05000820,"1,363",27.0,483,9.6,880,17.4,"3,688",73.0,"3,158",62.5,530,10.5
Bowdon,E05000821,"1,287",32.5,535,13.5,752,19.0,"2,674",67.5,"1,993",50.3,681,17.2
Broadheath (Trafford),E05000822,"1,905",26.8,615,8.6,"1,290",18.1,"5,207",73.2,"4,518",63.5,689,9.7
Brooklands (Trafford),E05000823,"1,292",25.9,424,8.5,868,17.4,"3,693",74.1,"3,197",64.1,496,9.9
Bucklow-St Martins,E05000824,"1,346",32.2,434,10.4,912,21.8,"2,839",67.8,"2,524",60.3,315,7.5
Clifford,E05000825,"2,084",35.4,703,11.9,"1,381",23.5,"3,800",64.6,"3,411",58.0,389,6.6
Davyhulme East,E05000826,"1,213",25.9,352,7.5,861,18.4,"3,476",74.1,"3,112",66.4,364,7.8
Davyhulme West,E05000827,"1,319",27.1,430,8.8,889,18.3,"3,546",72.9,"3,070",63.1,476,9.8
Flixton,E05000828,"1,454",27.5,460,8.7,994,18.8,"3,828",72.5,"3,312",62.7,516,9.8
Gorse Hill (Trafford),E05000829,"1,711",28.6,533,8.9,"1,178",19.7,"4,277",71.4,"3,818",63.8,459,7.7
Hale Barns,E05000830,"1,360",31.6,559,13.0,801,18.6,"2,943",68.4,"2,258",52.5,685,15.9
Hale Central,E05000831,"1,446",27.3,588,11.1,858,16.2,"3,846",72.7,"2,951",55.8,895,16.9
Longford (Trafford),E05000832,"1,856",31.4,640,10.8,"1,216",20.6,"4,055",68.6,"3,648",61.7,407,6.9
Priory (Trafford),E05000833,"1,399",23.9,461,7.9,938,16.1,"4,445",76.1,"3,844",65.8,601,10.3
Sale Moor,E05000835,"1,365",26.9,428,8.4,937,18.4,"3,718",73.1,"3,253",64.0,465,9.1
St Mary's (Trafford),E05000834,"1,665",31.6,550,10.5,"1,115",21.2,"3,596",68.4,"3,151",59.9,445,8.5
Stretford,E05000836,"1,559",28.5,504,9.2,"1,055",19.3,"3,906",71.5,"3,473",63.5,433,7.9
Timperley,E05000837,"1,505",27.4,469,8.5,"1,036",18.9,"3,983",72.6,"3,436",62.6,547,10.0
Urmston,E05000838,"1,417",25.1,400,7.1,"1,017",18.0,"4,231",74.9,"3,745",66.3,486,8.6
Village (Trafford),E05000839,"1,491",32.3,510,11.1,981,21.3,"3,122",67.7,"2,680",58.1,442,9.6
Bebington,E05000954,"2,090",29.6,625,8.9,"1,465",20.8,"4,960",70.4,"4,396",62.4,564,8.0
Bidston and St James,E05000955,"1,987",33.0,539,8.9,"1,448",24.0,"4,040",67.0,"3,643",60.4,397,6.6
Birkenhead and Tranmere,E05000956,"2,098",33.7,663,10.7,"1,435",23.1,"4,123",66.3,"3,698",59.4,425,6.8
Bromborough,E05000957,"2,197",28.0,647,8.3,"1,550",19.8,"5,637",72.0,"5,000",63.8,637,8.1
Clatterbridge,E05000958,"1,732",28.6,567,9.4,"1,165",19.2,"4,332",71.4,"3,782",62.4,550,9.1
Claughton,E05000959,"1,928",29.0,605,9.1,"1,323",19.9,"4,722",71.0,"4,128",62.1,594,8.9
Eastham,E05000960,"1,816",28.3,547,8.5,"1,269",19.8,"4,605",71.7,"4,098",63.8,507,7.9
"Greasby, Frankby and Irby",E05000961,"1,924",30.6,615,9.8,"1,309",20.8,"4,369",69.4,"3,761",59.8,608,9.7
Heswall,E05000962,"1,806",32.7,711,12.9,"1,095",19.9,"3,709",67.3,"2,988",54.2,721,13.1
Hoylake and Meols,E05000963,"1,773",30.9,644,11.2,"1,129",19.6,"3,973",69.1,"3,320",57.8,653,11.4
Leasowe and Moreton East,E05000964,"1,905",30.1,551,8.7,"1,354",21.4,"4,430",69.9,"3,926",62.0,504,8.0
Liscard,E05000965,"2,105",31.5,621,9.3,"1,484",22.2,"4,573",68.5,"4,078",61.1,495,7.4
Moreton West and Saughall Massie,E05000966,"1,966",31.0,595,9.4,"1,371",21.6,"4,386",69.0,"3,923",61.8,463,7.3
New Brighton,E05000967,"1,996",30.3,615,9.3,"1,381",20.9,"4,596",69.7,"4,066",61.7,530,8.0
Oxton,E05000968,"1,796",27.9,612,9.5,"1,184",18.4,"4,646",72.1,"3,992",62.0,654,10.2
Pensby and Thingwall,E05000969,"1,757",31.0,548,9.7,"1,209",21.3,"3,913",69.0,"3,426",60.4,487,8.6
Prenton,E05000970,"2,073",30.6,622,9.2,"1,451",21.4,"4,705",69.4,"4,130",60.9,575,8.5
Rock Ferry,E05000971,"1,957",32.8,573,9.6,"1,384",23.2,"4,005",67.2,"3,581",60.1,424,7.1
Seacombe,E05000972,"1,955",34.1,561,9.8,"1,394",24.3,"3,782",65.9,"3,413",59.5,369,6.4
Upton (Wirral),E05000973,"2,286",33.0,651,9.4,"1,635",23.6,"4,633",67.0,"4,092",59.1,541,7.8
Wallasey,E05000974,"2,027",29.7,640,9.4,"1,387",20.3,"4,803",70.3,"4,194",61.4,609,8.9
West Kirby and Thurstaston,E05000975,"1,774",32.9,657,12.2,"1,117",20.7,"3,614",67.1,"2,959",54.9,655,12.2
