ward,wardcode,nodis,nodisp,onedis,onedisp,twodis,twodisp
Cheadle Hulme South,E05000786,"4,157",71.0,"1,380",23.6,319,5.4
Cheadle and Gatley,E05000784,"4,336",67.9,"1,651",25.9,396,6.2
Davenport and Cale Green,E05000787,"4,183",63.0,"1,919",28.9,541,8.1
Edgeley and Cheadle Heath,E05000788,"4,295",67.5,"1,662",26.1,402,6.3
Hazel Grove,E05000789,"4,170",68.7,"1,529",25.2,367,6.1
Heald Green,E05000790,"3,307",66.1,"1,321",26.4,372,7.4
Heatons North,E05000791,"4,171",70.2,"1,447",24.3,327,5.5
Heatons South,E05000792,"4,300",71.6,"1,379",23.0,328,5.5
Manor (Stockport),E05000793,"4,090",65.7,"1,732",27.8,404,6.5
Marple North,E05000794,"3,715",71.5,"1,215",23.4,264,5.1
Marple South and High Lane,E05000795,"3,519",66.3,"1,439",27.1,348,6.6
Offerton,E05000796,"3,744",63.1,"1,685",28.4,504,8.5
Reddish North,E05000797,"4,416",66.2,"1,761",26.4,498,7.5
Reddish South,E05000798,"4,068",66.3,"1,702",27.8,362,5.9
Stepping Hill,E05000799,"3,933",71.0,"1,321",23.8,285,5.1
Ashton Hurst,E05000800,"2,965",62.3,"1,393",29.3,399,8.4
Ashton St Michael's,E05000801,"3,461",65.1,"1,456",27.4,397,7.5
Ashton Waterloo,E05000802,"2,999",61.6,"1,441",29.6,427,8.8
Audenshaw,E05000803,"3,683",68.5,"1,341",25.0,349,6.5
Denton North East,E05000804,"3,250",64.1,"1,442",28.4,379,7.5
Denton South,E05000805,"3,098",60.6,"1,585",31.0,433,8.5
Denton West,E05000806,"3,362",66.6,"1,358",26.9,326,6.5
Droylsden East,E05000807,"3,472",64.8,"1,465",27.3,425,7.9
Droylsden West,E05000808,"2,969",61.9,"1,404",29.3,424,8.8
Dukinfield,E05000809,"3,430",62.0,"1,618",29.2,488,8.8
Dukinfield Stalybridge,E05000810,"3,240",62.7,"1,535",29.7,396,7.7
Hyde Godley,E05000811,"3,348",61.3,"1,653",30.3,457,8.4
Hyde Newton,E05000812,"4,215",64.5,"1,822",27.9,497,7.6
Hyde Werneth,E05000813,"3,197",67.0,"1,247",26.1,329,6.9
